Address,Neighborhood,Ward,Description,ZipCode,Usage,Lot Square Feet,ParcelId
4764 NORTHLAND AV,Kingsway East,4,,63113,Vacant Lot,3171.0983735,44770201900
4333 EVANS AV,Vandeventer,4,,63113,Vacant Lot,3172,37270003320
3028 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3173,44670400500
3026 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3173,44670400400
4425 N MARKET PL,The Ville,4,,63113,Vacant Lot,3174.4496795,37040002900
4361 LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,3174.487092,36190006900
4406 COTTAGE AV,The Ville,4,,63113,Vacant Lot,3176.855585,37050001800
4263 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3179.045275,36860004900
3049 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3183.219979,44660003600
3714 N MARKET PL,JeffVanderLou,4,,63113,Vacant Lot,3183.6777205,18710000900
4329 EVANS AV,Vandeventer,4,,63113,Vacant Lot,3185.5479555,37270003100
2716 CORA AV,The Greater Ville,4,,63113,Vacant Lot,3187.9974585,37150006000
4587 KENNERLY AV,The Greater Ville,4,,63113,Vacant Lot,3188.988776,37150005600
4553 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3189.320505,37160005400
4419 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3189.7471655,37020002600
4343 N MARKET PL,The Ville,4,,63113,Vacant Lot,3190.204125,36950002900
4444 ELMBANK AV,The Greater Ville,4,,63115,Vacant Lot,3193.4212995,36180001000
3050 N WHITTIER ST,The Greater Ville,4,,63115,Vacant Lot,3194.3449835,36230001000
4556 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3197.7216385,37150001400
4023 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3197.786251,36550002950
3042 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3203.9462905,44670401000
3111 NEW ASHLAND PL,The Greater Ville,4,,63115,Vacant Lot,3207.0975345,44660003000
4029 GARFIELD AV,The Greater Ville,4,,63113,Vacant Lot,3216.6564805,36550003100
4421 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3217.109579,37020002700
4045 GREER AV,The Greater Ville,4,,63107,Vacant Lot,3218.41675,51960002900
4442 N MARKET PL,The Ville,4,,63113,Vacant Lot,3218.5511015,37030000400
2526 N TAYLOR AV,The Ville,4,,63113,Vacant Lot,3224.476152,37050004500
3922 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3225.008298,36440101600
3936 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3225.047365,36440101100
3930 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3225.047365,36440101300
3942 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3225.128745,36440100900
3934 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3225.128745,36440101200
4430 ALDINE AV,The Ville,4,,63113,Vacant Lot,3227.454774,37000000800
4162 LEXINGTON AV,The Greater Ville,4,,63115,Vacant Lot,3229.468317,44400700200
4054 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3230.6118105,36550000300
3021 FAIR AV,The Greater Ville,4,,63115,Vacant Lot,3239.247041,36230005000
4265 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3239.999654,36860005000
4558 MAFFITT AV,The Greater Ville,4,,63113,Vacant Lot,3240.4461315,37150001300
4535 COTTAGE AV,The Greater Ville,4,,63113,Vacant Lot,3240.7367,37160004800
4536 GREER AV,The Greater Ville,4,,63115,Vacant Lot,3244.466354,37100201500
2409 PRAIRIE AV,JeffVanderLou,4,,63113,Vacant Lot,3246,36320002600
4457 COTE BRILLIANTE AV,The Ville,4,,63113,Vacant Lot,3246.663727,37020003910
4588 COTE BRILLIANTE AV,The Greater Ville,4,,63113,Vacant Lot,3246.77525,37210000200
4047 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3249.801027,36540004000
4345 ALDINE AV,The Ville,4,,63113,Vacant Lot,3250.074346,36980004000
3131 E FAIR AV,The Greater Ville,4,,63115,Vacant Lot,3250.8354425,36230003200
4236 W LABADIE AV,The Greater Ville,4,,63115,Vacant Lot,3251.44641,44680602700
1812 ANNIE MALONE DR,The Ville,4,,63113,Vacant Lot,3253.84,36790003001
4036 COTE BRILLIANTE AV,The Greater Ville,4,,63113,Vacant Lot,3256.3961895,36570000800
4439 N MARKET PL,The Ville,4,,63113,Vacant Lot,3261.222747,37040003500
4274 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3262,36850000500
4276 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3262,36850000400
4241 W GARFIELD AV,The Ville,4,,63113,Vacant Lot,3262,36850004300
4245 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3262,36860004200
4280 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3262.5,36850000250
4278 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3262.5,36850000350
4439 ALDINE AV,The Ville,4,,63113,Vacant Lot,3262.559399,37010003700
4605 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3262.5661825,37180006900
4553 N MARKET PL,The Greater Ville,4,,63113,Vacant Lot,3262.6499545,37180005300
4311 GARFIELD AV,The Ville,4,,63113,Vacant Lot,3262.795632,36960002400
4667 EVANS AV,Lewis Place,4,,63113,Vacant Lot,3263.5050145,37750402400
4335 ST FERDINAND AV,The Ville,4,,63113,Vacant Lot,3264.68882,36940003300
2514 N VANDEVENTER AV,JeffVanderLou,4,,63113,Vacant Lot,3265.041858,36310000500
4255 W NORTH MARKET ST,The Ville,4,,63113,Vacant Lot,3265.150379,36860004700
3910 ALDINE AV,The Greater Ville,4,,63113,Vacant Lot,3265.179794,36371802100
